       Satname        Passed, GB     Camera, GB        Max, GB      Overloads         Input, GB/s        Output, GB/s    Storage, GB
KinoSat_110407           5311.86        5548.45       10203.99              0             0.50000             0.12500           1000
KinoSat_110408           5500.63        5723.01       10368.18              0             0.50000             0.12500           1000
KinoSat_110409           5623.27        5846.14       10815.52              0             0.50000             0.12500           1000
KinoSat_110410           5580.64        5807.27       11070.21              0             0.50000             0.12500           1000
KinoSat_110501           5361.45        5602.30       10893.19              0             0.50000             0.12500           1000
KinoSat_110502           5336.39        5638.47       10962.51              0             0.50000             0.12500           1000
KinoSat_110503           5442.11        5713.55       10963.13              0             0.50000             0.12500           1000
KinoSat_110504           5473.67        5742.67       11134.01              0             0.50000             0.12500           1000
KinoSat_110505           5595.85        5868.16       11209.68              0             0.50000             0.12500           1000
KinoSat_110506           5589.31        5844.25       11375.72              0             0.50000             0.12500           1000
KinoSat_110507           5626.91        5874.39       11563.05              0             0.50000             0.12500           1000
KinoSat_110508           5591.10        5810.19       11469.44              0             0.50000             0.12500           1000
KinoSat_110509           5464.62        5694.21       11356.95              0             0.50000             0.12500           1000
KinoSat_110510           5370.21        5601.93       11090.08              0             0.50000             0.12500           1000
KinoSat_110601           2922.24        3294.87       11917.22            169             0.50000             0.03125            500
KinoSat_110602           2880.37        3252.85       12032.66            167             0.50000             0.03125            500
KinoSat_110603           2938.04        3308.28       12149.38            177             0.50000             0.03125            500
KinoSat_110604           2889.36        3246.42       12047.92            151             0.50000             0.03125            500
KinoSat_110605           2889.97        3256.04       11685.51            167             0.50000             0.03125            500
KinoSat_110606           2862.51        3234.96       11431.35            160             0.50000             0.03125            500
KinoSat_110607           2825.06        3204.67       11298.52            149             0.50000             0.03125            500
KinoSat_110608           2899.05        3282.51       11527.38            168             0.50000             0.03125            500
KinoSat_110609           2931.77        3310.67       11779.21            158             0.50000             0.03125            500
KinoSat_110610           2915.14        3293.28       11785.64            137             0.50000             0.03125            500
KinoSat_110701           2863.18        3237.10       12435.02            212             0.50000             0.03125            500
KinoSat_110702           2847.51        3225.73       11960.32            209             0.50000             0.03125            500
KinoSat_110703           2820.39        3198.74       11823.72            215             0.50000             0.03125            500
KinoSat_110704           2872.22        3255.36       11974.18            196             0.50000             0.03125            500
KinoSat_110705           2912.34        3296.86       12168.90            187             0.50000             0.03125            500
KinoSat_110706           2922.34        3301.69       12207.64            171             0.50000             0.03125            500
KinoSat_110707           2890.96        3272.45       12285.63            186             0.50000             0.03125            500
KinoSat_110708           2950.08        3330.79       12662.06            215             0.50000             0.03125            500
KinoSat_110709           2925.24        3303.27       12938.66            211             0.50000             0.03125            500
KinoSat_110710           2927.65        3303.63       12859.54            221             0.50000             0.03125            500
KinoSat_110801           2797.78        3178.09       11862.72            207             0.50000             0.03125            500
KinoSat_110802           2787.26        3170.38       11903.61            204             0.50000             0.03125            500
KinoSat_110803           2830.93        3218.55       12100.23            212             0.50000             0.03125            500
KinoSat_110804           2851.39        3244.38       12373.52            212             0.50000             0.03125            500
KinoSat_110805           2882.21        3262.10       12364.51            196             0.50000             0.03125            500
KinoSat_110806           2860.96        3241.35       12398.50            211             0.50000             0.03125            500
KinoSat_110807           2876.98        3258.34       12374.31            223             0.50000             0.03125            500
KinoSat_110808           2845.39        3225.23       12194.77            221             0.50000             0.03125            500
KinoSat_110809           2825.78        3206.65       12141.55            204             0.50000             0.03125            500
KinoSat_110810           2810.33        3195.21       11989.66            216             0.50000             0.03125            500
KinoSat_110901           2755.86        3145.47       11690.03            214             0.50000             0.03125            500
KinoSat_110902           2724.76        3118.05       11668.19            233             0.50000             0.03125            500
KinoSat_110903           2756.81        3150.80       11701.63            221             0.50000             0.03125            500
KinoSat_110904           2792.45        3182.87       11614.18            219             0.50000             0.03125            500
KinoSat_110905           2766.33        3147.10       11395.01            208             0.50000             0.03125            500
KinoSat_110906           2795.09        3176.44       11291.29            213             0.50000             0.03125            500
KinoSat_110907           2795.37        3178.13       11476.75            224             0.50000             0.03125            500
KinoSat_110908           2784.11        3168.98       11874.85            243             0.50000             0.03125            500
KinoSat_110909           2781.98        3165.09       11996.65            226             0.50000             0.03125            500
KinoSat_110910           2776.00        3166.04       11797.80            226             0.50000             0.03125            500
KinoSat_111001           2743.59        3138.46       11356.24            228             0.50000             0.03125            500
KinoSat_111002           2737.50        3131.33       11223.96            213             0.50000             0.03125            500
KinoSat_111003           2759.87        3153.60       11228.03            230             0.50000             0.03125            500
KinoSat_111004           2731.47        3115.56       11300.18            214             0.50000             0.03125            500
KinoSat_111005           2784.77        3165.73       11463.90            210             0.50000             0.03125            500
KinoSat_111006           2822.17        3206.44       11858.57            240             0.50000             0.03125            500
KinoSat_111007           2783.24        3168.25       11967.41            235             0.50000             0.03125            500
KinoSat_111008           2803.68        3190.55       11904.60            238             0.50000             0.03125            500
KinoSat_111009           2791.97        3181.99       11899.88            251             0.50000             0.03125            500
KinoSat_111010           2778.23        3169.59       11610.35            217             0.50000             0.03125            500
KinoSat_111101           2678.60        3071.25       11192.68            235             0.50000             0.03125            500
KinoSat_111102           2706.84        3100.36       11347.90            249             0.50000             0.03125            500
KinoSat_111103           2738.36        3131.04       11483.32            237             0.50000             0.03125            500
KinoSat_111104           2806.51        3190.07       11629.93            215             0.50000             0.03125            500
KinoSat_111105           2780.15        3165.17       11733.42            230             0.50000             0.03125            500
KinoSat_111106           2744.30        3127.70       11602.63            275             0.50000             0.03125            500
KinoSat_111107           2765.41        3151.37       11648.16            238             0.50000             0.03125            500
KinoSat_111108           2721.67        3109.28       11465.81            242             0.50000             0.03125            500
KinoSat_111109           2696.05        3086.14       11338.32            235             0.50000             0.03125            500
KinoSat_111110           2663.12        3056.08       11372.47            244             0.50000             0.03125            500
KinoSat_111201           2692.34        3083.36       11741.98            244             0.50000             0.03125            500
KinoSat_111202           2722.92        3116.89       11836.35            208             0.50000             0.03125            500
KinoSat_111203           2759.20        3148.13       11594.59            244             0.50000             0.03125            500
KinoSat_111204           2760.60        3146.09       11468.64            261             0.50000             0.03125            500
KinoSat_111205           2728.96        3114.52       11337.24            249             0.50000             0.03125            500
KinoSat_111206           2706.28        3092.77       11325.01            238             0.50000             0.03125            500
KinoSat_111207           2689.41        3076.53       11565.40            231             0.50000             0.03125            500
KinoSat_111208           2704.06        3092.74       11677.53            240             0.50000             0.03125            500
KinoSat_111209           2688.58        3079.61       11662.71            248             0.50000             0.03125            500
KinoSat_111210           2681.07        3073.32       11697.29            239             0.50000             0.03125            500
KinoSat_111301           2769.22        3165.27       11895.48            249             0.50000             0.03125            500
KinoSat_111302           2774.64        3168.43       11584.14            238             0.50000             0.03125            500
KinoSat_111303           2754.18        3142.07       11476.12            224             0.50000             0.03125            500
KinoSat_111304           2721.48        3106.67       11524.44            261             0.50000             0.03125            500
KinoSat_111305           2744.49        3130.36       11841.07            250             0.50000             0.03125            500
KinoSat_111306           2744.07        3130.51       12082.75            234             0.50000             0.03125            500
KinoSat_111307           2759.25        3147.34       12232.32            259             0.50000             0.03125            500
KinoSat_111308           2786.67        3176.45       12369.42            215             0.50000             0.03125            500
KinoSat_111309           2751.44        3143.27       12349.69            248             0.50000             0.03125            500
KinoSat_111310           2691.18        3083.82       11996.27            248             0.50000             0.03125            500
KinoSat_111401           2686.09        3081.55       11706.59            219             0.50000             0.03125            500
KinoSat_111402           2704.41        3095.55       11752.14            244             0.50000             0.03125            500
KinoSat_111403           2701.76        3087.84       11794.91            225             0.50000             0.03125            500
KinoSat_111404           2754.26        3137.37       12095.64            235             0.50000             0.03125            500
KinoSat_111405           2759.91        3145.46       12354.70            239             0.50000             0.03125            500
KinoSat_111406           2796.06        3181.37       12638.81            216             0.50000             0.03125            500
KinoSat_111407           2741.40        3130.73       12421.30            246             0.50000             0.03125            500
KinoSat_111408           2697.83        3089.54       12114.44            233             0.50000             0.03125            500
KinoSat_111409           2707.16        3100.08       11793.83            237             0.50000             0.03125            500
KinoSat_111410           2600.84        2995.18       11625.75            228             0.50000             0.03125            500
KinoSat_111501           2758.69        3156.05       11981.79            204             0.50000             0.03125            500
KinoSat_111502           2779.97        3167.31       12200.77            216             0.50000             0.03125            500
KinoSat_111503           2707.87        3090.26       12312.84            219             0.50000             0.03125            500
KinoSat_111504           2778.05        3161.03       12204.15            229             0.50000             0.03125            500
KinoSat_111505           2776.29        3163.49       12270.49            225             0.50000             0.03125            500
KinoSat_111506           2793.46        3181.23       12178.50            224             0.50000             0.03125            500
KinoSat_111507           2708.27        3097.18       12027.36            195             0.50000             0.03125            500
KinoSat_111508           2647.62        3038.76       11925.59            214             0.50000             0.03125            500
KinoSat_111509           2639.87        3033.92       11648.16            218             0.50000             0.03125            500
KinoSat_111510           2683.27        3076.49       11763.74            214             0.50000             0.03125            500
KinoSat_111601           2759.60        3152.61       11889.59            184             0.50000             0.03125            500
KinoSat_111602           2775.38        3162.17       11772.00            174             0.50000             0.03125            500
KinoSat_111603           2776.50        3163.48       11698.58            150             0.50000             0.03125            500
KinoSat_111604           2773.22        3159.64       11874.22            165             0.50000             0.03125            500
KinoSat_111605           2743.83        3130.14       12048.23            169             0.50000             0.03125            500
KinoSat_111606           2702.03        3090.80       11828.61            185             0.50000             0.03125            500
KinoSat_111607           2710.78        3102.21       11834.42            183             0.50000             0.03125            500
KinoSat_111608           2655.45        3047.53       11949.87            191             0.50000             0.03125            500
KinoSat_111609           2697.94        3091.53       12114.76            178             0.50000             0.03125            500
KinoSat_111610           2693.73        3089.43       12175.40            189             0.50000             0.03125            500
KinoSat_111701           2793.01        3183.38       11685.98            118             0.50000             0.03125            500
KinoSat_111702           2763.46        3151.46       11608.91            138             0.50000             0.03125            500
KinoSat_111703           2814.79        3199.88       11506.39            136             0.50000             0.03125            500
KinoSat_111704           2774.18        3161.27       11856.88            150             0.50000             0.03125            500
KinoSat_111705           2787.15        3173.12       12226.84            154             0.50000             0.03125            500
KinoSat_111706           2842.27        3231.46       12479.13            159             0.50000             0.03125            500
KinoSat_111707           2763.28        3154.91       12343.81            171             0.50000             0.03125            500
KinoSat_111708           2676.33        3069.66       11806.01            159             0.50000             0.03125            500
KinoSat_111709           2783.08        3176.03       11757.38            151             0.50000             0.03125            500
KinoSat_111710           2736.32        3133.84       11586.74            121             0.50000             0.03125            500
KinoSat_111801           2852.38        3238.09       11550.50             96             0.50000             0.03125            500
KinoSat_111802           2779.73        3166.97       11882.95             95             0.50000             0.03125            500
KinoSat_111803           2813.61        3197.63       12275.08            104             0.50000             0.03125            500
KinoSat_111804           2843.01        3230.50       12533.49            127             0.50000             0.03125            500
KinoSat_111805           2842.34        3231.76       12218.84            110             0.50000             0.03125            500
KinoSat_111806           2834.12        3223.96       12155.46             96             0.50000             0.03125            500
KinoSat_111807           2744.35        3135.86       11866.34            105             0.50000             0.03125            500
KinoSat_111808           2807.93        3201.64       11750.78             83             0.50000             0.03125            500
KinoSat_111809           2755.66        3151.40       11649.70            101             0.50000             0.03125            500
KinoSat_111810           2809.33        3205.68       11297.14            112             0.50000             0.03125            500
KinoSat_111901           2891.94        3279.04       12019.58             83             0.50000             0.03125            500
KinoSat_111902           2839.83        3225.75       11884.48             85             0.50000             0.03125            500
KinoSat_111903           2892.18        3276.51       12062.30             85             0.50000             0.03125            500
KinoSat_111904           2925.94        3314.94       12158.97             80             0.50000             0.03125            500
KinoSat_111905           2907.85        3302.11       12182.44             82             0.50000             0.03125            500
KinoSat_111906           2855.73        3247.44       11867.92             60             0.50000             0.03125            500
KinoSat_111907           2834.51        3228.70       11576.12             68             0.50000             0.03125            500
KinoSat_111908           2846.47        3240.98       11598.64             71             0.50000             0.03125            500
KinoSat_111909           2824.93        3221.15       11850.23             96             0.50000             0.03125            500
KinoSat_111910           2951.17        3342.34       12097.46             75             0.50000             0.03125            500
KinoSat_112001           2982.12        3371.60       11740.97             65             0.50000             0.03125            500
KinoSat_112002           3019.49        3409.21       11890.85             63             0.50000             0.03125            500
KinoSat_112003           3086.72        3464.95       11987.04             60             0.50000             0.03125            500
KinoSat_112004           3053.96        3445.46       12244.28             62             0.50000             0.03125            500
KinoSat_112005           3036.88        3429.94       12098.68             71             0.50000             0.03125            500
KinoSat_112006           2963.51        3355.30       12067.05             51             0.50000             0.03125            500
KinoSat_112007           2960.45        3354.69       12061.30             56             0.50000             0.03125            500
KinoSat_112008           2939.58        3335.54       11970.07             74             0.50000             0.03125            500
KinoSat_112009           2938.13        3336.22       11912.46             70             0.50000             0.03125            500
KinoSat_112010           2963.24        3353.84       11665.36             73             0.50000             0.03125            500
